Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME,PMID_List,PubMed_URLs,PMID_Details
"[14551, 9, 4883]",[-0.781569242477417],C3536844,Antimalarial [EPC],TREATS,C0041471,TYPHUS,"['39530857', '39448533', '39448532', '39331879', '39282517', '38960428', '38905360', '38881302', '38784570', '38454387']","['39530857: https://pubmed.ncbi.nlm.nih.gov/39530857', '39448533: https://pubmed.ncbi.nlm.nih.gov/39448533', '39448532: https://pubmed.ncbi.nlm.nih.gov/39448532', '39331879: https://pubmed.ncbi.nlm.nih.gov/39331879', '39282517: https://pubmed.ncbi.nlm.nih.gov/39282517', '38960428: https://pubmed.ncbi.nlm.nih.gov/38960428', '38905360: https://pubmed.ncbi.nlm.nih.gov/38905360', '38881302: https://pubmed.ncbi.nlm.nih.gov/38881302', '38784570: https://pubmed.ncbi.nlm.nih.gov/38784570', '38454387: https://pubmed.ncbi.nlm.nih.gov/38454387']","{'39530857': {'Title': 'Scrub Typhus Outbreak among Soldiers in Coastal Training Area, Australia, 2022.', 'Authors': 'Suhr R, Belonogoff S, McCallum F, Smith J, Shanks GD', 'Source': 'Emerg Infect Dis', 'PubDate': '2024 Nov', 'DOI': '10.3201/eid3014.240056', 'Volume': '30', 'Issue': '14', 'Pages': '41-46', 'URL': '39530857: https://pubmed.ncbi.nlm.nih.gov/39530857'}, '39448533': {'Title': 'Scrub typhus presenting as mitral valve infective endocarditis.', 'Authors': 'Devi S, Das D, Acharya D, Das T, Singh S, Gupta JD, Pramanik S', 'Source': 'Natl Med J India', 'PubDate': '2024 Jul-Aug', 'DOI': '10.25259/NMJI_295_21', 'Volume': '37', 'Issue': '4', 'Pages': '203-204', 'URL': '39448533: https://pubmed.ncbi.nlm.nih.gov/39448533'}, '39448532': {'Title': 'Scrub typhus presenting with massive splenomegaly and lobar pneumonia.', 'Authors': 'Vihari J, Aditya A, Krishna AV, Roja T, Elika M, Pooja U', 'Source': 'Natl Med J India', 'PubDate': '2024 Jul-Aug', 'DOI': '10.25259/NMJI_1001_2021', 'Volume': '37', 'Issue': '4', 'Pages': '200-202', 'URL': '39448532: https://pubmed.ncbi.nlm.nih.gov/39448532'}, '39331879': {'Title': 'Two complicated cases of severe scrub typhus, eschar- a non-negligible sign: Case reports and literature review.', 'Authors': 'Cai DH, Fang XL', 'Source': 'Medicine (Baltimore)', 'PubDate': '2024 Sep 27', 'DOI': '10.1097/MD.0000000000039879', 'Volume': '103', 'Issue': '39', 'Pages': 'e39879', 'URL': '39331879: https://pubmed.ncbi.nlm.nih.gov/39331879'}, '39282517': {'Title': 'Case Report: Scrub Typhus manifesting as Acute Respiratory Distress Syndrome (ARDS) with corresponding radiological findings.', 'Authors': 'Dinesh Bhanushali J, Ghewade B, Jadhav U', 'Source': 'F1000Res', 'PubDate': '2023', 'DOI': '10.12688/f1000research.141986.2', 'Volume': '12', 'Issue': '', 'Pages': '1596', 'URL': '39282517: https://pubmed.ncbi.nlm.nih.gov/39282517'}, '38960428': {'Title': 'Acute intravascular haemolysis associated with scrub typhus.', 'Authors': 'Ganguly D, Chandra A, Maitra S, Malakar SL', 'Source': 'BMJ Case Rep', 'PubDate': '2024 Jul 2', 'DOI': '10.1136/bcr-2024-261003', 'Volume': '17', 'Issue': '7', 'Pages': '', 'URL': '38960428: https://pubmed.ncbi.nlm.nih.gov/38960428'}, '38905360': {'Title': 'A case of scrub typhus with meningitis as the onset: Case report and literature review.', 'Authors': 'Zhang BC, Yang ZB, Liao RL, Ma ZQ, Zhang QJ, He QK, Duan XY, Liu MW', 'Source': 'Medicine (Baltimore)', 'PubDate': '2024 Jun 21', 'DOI': '10.1097/MD.0000000000038613', 'Volume': '103', 'Issue': '25', 'Pages': 'e38613', 'URL': '38905360: https://pubmed.ncbi.nlm.nih.gov/38905360'}, '38881302': {'Title': 'Ocular inflammation in tsutsugamushi disease - a case report.', 'Authors': 'Chang WH, Hung CH', 'Source': 'Eur J Ophthalmol', 'PubDate': '2024 Sep', 'DOI': '10.1177/11206721241262840', 'Volume': '34', 'Issue': '5', 'Pages': 'NP83-NP86', 'URL': '38881302: https://pubmed.ncbi.nlm.nih.gov/38881302'}, '38784570': {'Title': 'mNGS helped diagnose scrub typhus-associated HLH in children: a report of two cases.', 'Authors': 'Jian H, Yang QX, Duan JX, Lai SY, Che GL, Teng J, Chang L, Liu XJ, Luo LL, Liu F', 'Source': 'Front Public Health', 'PubDate': '2024', 'DOI': '10.3389/fpubh.2024.1321123', 'Volume': '12', 'Issue': '', 'Pages': '1321123', 'URL': '38784570: https://pubmed.ncbi.nlm.nih.gov/38784570'}, '38454387': {'Title': 'Retinochoroiditis secondary to Rickettsia typhi infection: a case report.', 'Authors': 'Makhoul J, Ben-Arie-Weintrob Y, Ben Ephraim Noyman D', 'Source': 'BMC Ophthalmol', 'PubDate': '2024 Mar 7', 'DOI': '10.1186/s12886-024-03329-5', 'Volume': '24', 'Issue': '1', 'Pages': '111', 'URL': '38454387: https://pubmed.ncbi.nlm.nih.gov/38454387'}}"
"[3245, 9, 998]",[-0.805400013923645],C0027410,Narcotic Antagonists,TREATS,C0008354,Cholera,"['33490291', '32032601', '26879913', '26035913', '21972236', '21486275', '20097777', '15099699', '11689159', '11483873']","['33490291: https://pubmed.ncbi.nlm.nih.gov/33490291', '32032601: https://pubmed.ncbi.nlm.nih.gov/32032601', '26879913: https://pubmed.ncbi.nlm.nih.gov/26879913', '26035913: https://pubmed.ncbi.nlm.nih.gov/26035913', '21972236: https://pubmed.ncbi.nlm.nih.gov/21972236', '21486275: https://pubmed.ncbi.nlm.nih.gov/21486275', '20097777: https://pubmed.ncbi.nlm.nih.gov/20097777', '15099699: https://pubmed.ncbi.nlm.nih.gov/15099699', '11689159: https://pubmed.ncbi.nlm.nih.gov/11689159', '11483873: https://pubmed.ncbi.nlm.nih.gov/11483873']","{'33490291': {'Title': 'Selenium Nanoparticles Induce Potent Protective Immune Responses against Vibrio cholerae WC Vaccine in a Mouse Model.', 'Authors': 'Raahati Z, Bakhshi B, Najar-Peerayeh S', 'Source': 'J Immunol Res', 'PubDate': '2020', 'DOI': '10.1155/2020/8874288', 'Volume': '2020', 'Issue': '', 'Pages': '8874288', 'URL': '33490291: https://pubmed.ncbi.nlm.nih.gov/33490291'}, '32032601': {'Title': 'Antidiarrheal activity of farnesol in rodents: Pharmacological actions and molecular docking.', 'Authors': 'da Costa DS, Negreiros PDS, da Silva VG, Nunes DB, Acha BT, Quintans-Junior LJ, Antunes de Souza Araújo A, Araújo TSL, Sousa FBM, Medeiros JVR, Lima FDCA, da Silva FI, Magalhães Costa RK, Santos RFD, Oliveira RCM', 'Source': 'Eur J Pharmacol', 'PubDate': '2020 May 5', 'DOI': '10.1016/j.ejphar.2020.172986', 'Volume': '874', 'Issue': '', 'Pages': '172986', 'URL': '32032601: https://pubmed.ncbi.nlm.nih.gov/32032601'}, '26879913': {'Title': 'The efficacy of a sulphated polysaccharide fraction from Hypnea musciformis against diarrhea in rodents.', 'Authors': 'Sousa NA, Barros FC, Araújo TS, Costa DS, Souza LK, Sousa FB, Leódido AC, Pacífico DM, de Araújo S, Bezerra FF, Freitas AL, Medeiros JV', 'Source': 'Int J Biol Macromol', 'PubDate': '2016 May', 'DOI': '10.1016/j.ijbiomac.2016.02.028', 'Volume': '86', 'Issue': '', 'Pages': '865-75', 'URL': '26879913: https://pubmed.ncbi.nlm.nih.gov/26879913'}, '26035913': {'Title': 'A case of physical and psychological dependence on butorphanol.', 'Authors': 'Harshe DG, Mate OS, Cholera RM, Kale S', 'Source': 'J Opioid Manag', 'PubDate': '2015 Mar-Apr', 'DOI': 'No DOI available', 'Volume': '11', 'Issue': '2', 'Pages': '112-3', 'URL': '26035913: https://pubmed.ncbi.nlm.nih.gov/26035913'}, '21972236': {'Title': 'Pleiotropic opioid regulation of spinal endomorphin 2 release and its adaptations to opioid withdrawal are sexually dimorphic.', 'Authors': 'Chakrabarti S, Liu NJ, Zadina JE, Sharma T, Gintzler AR', 'Source': 'J Pharmacol Exp Ther', 'PubDate': '2012 Jan', 'DOI': '10.1124/jpet.111.186874', 'Volume': '340', 'Issue': '1', 'Pages': '56-63', 'URL': '21972236: https://pubmed.ncbi.nlm.nih.gov/21972236'}, '21486275': {'Title': 'Antagonists show GTP-sensitive high-affinity binding to the sigma-1 receptor.', 'Authors': 'Brimson JM, Brown CA, Safrany ST', 'Source': 'Br J Pharmacol', 'PubDate': '2011 Sep', 'DOI': '10.1111/j.1476-5381.2011.01417.x', 'Volume': '164', 'Issue': '2b', 'Pages': '772-80', 'URL': '21486275: https://pubmed.ncbi.nlm.nih.gov/21486275'}, '20097777': {'Title': 'Subcellular localization of mu-opioid receptor G(s) signaling.', 'Authors': 'Chakrabarti S, Chang A, Gintzler AR', 'Source': 'J Pharmacol Exp Ther', 'PubDate': '2010 Apr', 'DOI': '10.1124/jpet.109.165142', 'Volume': '333', 'Issue': '1', 'Pages': '193-200', 'URL': '20097777: https://pubmed.ncbi.nlm.nih.gov/20097777'}, '15099699': {'Title': 'Receptor mechanisms mediating cyanide generation in PC12 cells and rat brain.', 'Authors': 'Gunasekar PG, Prabhakaran K, Li L, Zhang L, Isom GE, Borowitz JL', 'Source': 'Neurosci Res', 'PubDate': '2004 May', 'DOI': '10.1016/j.neures.2004.01.006', 'Volume': '49', 'Issue': '1', 'Pages': '13-8', 'URL': '15099699: https://pubmed.ncbi.nlm.nih.gov/15099699'}, '11689159': {'Title': 'Cholera toxin-B subunit blocks excitatory opioid receptor-mediated hyperalgesic effects in mice, thereby unmasking potent opioid analgesia and attenuating opioid tolerance/dependence.', 'Authors': 'Shen KF, Crain SM', 'Source': 'Brain Res', 'PubDate': '2001 Nov 16', 'DOI': '10.1016/s0006-8993(01)02990-0', 'Volume': '919', 'Issue': '1', 'Pages': '20-30', 'URL': '11689159: https://pubmed.ncbi.nlm.nih.gov/11689159'}, '11483873': {'Title': 'Kappa-opioid receptor agonist inhibits the cholera toxin-sensitive G protein in the heart.', 'Authors': 'Yu XC, Diao TM, Pei JM, Zhang WM, Wong NS, Wong TM', 'Source': 'J Cardiovasc Pharmacol', 'PubDate': '2001 Aug', 'DOI': '10.1097/00005344-200108000-00009', 'Volume': '38', 'Issue': '2', 'Pages': '232-9', 'URL': '11483873: https://pubmed.ncbi.nlm.nih.gov/11483873'}}"
"[1428, 9, 3594]",[-0.9464011192321777],C0012186,Diethyl Pyrocarbonate,TREATS,C0030807,Pemphigus,,,
"[7000, 9, 1940]",[-0.9964622259140015],C0163557,milbemycin B,TREATS,C0016509,Foot Dermatoses,,,
"[5779, 9, 4155]",[-1.083665132522583],C0069454,olsalazine,TREATS,C0035258,Restless Legs Syndrome,,,
"[5950, 9, 8952]",[-1.2966707944869995],C0074455,shikonin,TREATS,C0343386,Clostridium difficile infection,,,
"[5261, 9, 9655]",[-1.339481234550476],C0053882,cefprozil,TREATS,C0458219,Complex Regional Pain Syndromes,,,
"[3078, 9, 8941]",[-1.3609768152236938],C0025893,Mezlocillin,TREATS,C0342827,Delta-4-3-oxosteroid-5-beta-reductase deficiency,,,
"[14686, 9, 2720]",[-1.4541195631027222],C3714801,cyanocobalamin,TREATS,C0023219,Leg Dermatoses,,,
"[3854, 9, 7957]",[-1.4835119247436523],C0032950,prednisolone,TREATS,C0238462,Medullary carcinoma of thyroid,"['35128965', '10689944']","['35128965: https://pubmed.ncbi.nlm.nih.gov/35128965', '10689944: https://pubmed.ncbi.nlm.nih.gov/10689944']","{'35128965': {'Title': 'Bilateral optic disc edema as a possible complication of cabozantinib use-a case report.', 'Authors': 'Huang YT, Lin CJ, Tsai YY, Hsia NY', 'Source': 'Eur J Ophthalmol', 'PubDate': '2023 May', 'DOI': '10.1177/11206721221078675', 'Volume': '33', 'Issue': '3', 'Pages': 'NP56-NP59', 'URL': '35128965: https://pubmed.ncbi.nlm.nih.gov/35128965'}, '10689944': {'Title': '[Direct Gram staining of blood culture sample enabled the early diagnosis of brain abscess due to Listeria monocytogenes].', 'Authors': 'Takano A, Adachi H, Mizuno M, Kawamura K, Sobue G', 'Source': 'Rinsho Shinkeigaku', 'PubDate': '1999 Nov', 'DOI': 'No DOI available', 'Volume': '39', 'Issue': '11', 'Pages': '1164-7', 'URL': '10689944: https://pubmed.ncbi.nlm.nih.gov/10689944'}}"
"[12084, 9, 1266]",[-1.6932306289672852],C1101838,pitavastatin,TREATS,C0010674,Cystic Fibrosis,,,
"[1044, 9, 1545]",[-1.8384301662445068],C0008777,cilastatin,TREATS,C0013298,Duodenitis,"['23961409', '19226202', '16236177', '10425712', '7620110', '8072193', '8141778', '8352517']","['23961409: https://pubmed.ncbi.nlm.nih.gov/23961409', '19226202: https://pubmed.ncbi.nlm.nih.gov/19226202', '16236177: https://pubmed.ncbi.nlm.nih.gov/16236177', '10425712: https://pubmed.ncbi.nlm.nih.gov/10425712', '7620110: https://pubmed.ncbi.nlm.nih.gov/7620110', '8072193: https://pubmed.ncbi.nlm.nih.gov/8072193', '8141778: https://pubmed.ncbi.nlm.nih.gov/8141778', '8352517: https://pubmed.ncbi.nlm.nih.gov/8352517']","{'23961409': {'Title': 'Imipenem/cilastatin sodium (IPM/CS) as an embolic agent for transcatheter arterial embolisation: a preliminary clinical study of gastrointestinal bleeding from neoplasms.', 'Authors': 'Woodhams R, Nishimaki H, Ogasawara G, Fujii K, Yamane T, Ishida K, Kashimi F, Matsunaga K, Takigawa M', 'Source': 'Springerplus', 'PubDate': '2013', 'DOI': '10.1186/2193-1801-2-344', 'Volume': '2', 'Issue': '', 'Pages': '344', 'URL': '23961409: https://pubmed.ncbi.nlm.nih.gov/23961409'}, '19226202': {'Title': 'Choosing antibiotics for intra-abdominal infections: what do we mean by ""high risk""?', 'Authors': 'Swenson BR, Metzger R, Hedrick TL, McElearney ST, Evans HL, Smith RL, Chong TW, Popovsky KA, Pruett TL, Sawyer RG', 'Source': 'Surg Infect (Larchmt)', 'PubDate': '2009 Feb', 'DOI': '10.1089/sur.2007.041', 'Volume': '10', 'Issue': '1', 'Pages': '29-39', 'URL': '19226202: https://pubmed.ncbi.nlm.nih.gov/19226202'}, '16236177': {'Title': 'A multicenter trial of the efficacy and safety of tigecycline versus imipenem/cilastatin in patients with complicated intra-abdominal infections [Study ID Numbers: 3074A1-301-WW; ClinicalTrials.gov Identifier: NCT00081744].', 'Authors': 'Oliva ME, Rekha A, Yellin A, Pasternak J, Campos M, Rose GM, Babinchak T, Ellis-Grosse EJ, Loh E, 301 Study Group', 'Source': 'BMC Infect Dis', 'PubDate': '2005 Oct 19', 'DOI': '10.1186/1471-2334-5-88', 'Volume': '5', 'Issue': '', 'Pages': '88', 'URL': '16236177: https://pubmed.ncbi.nlm.nih.gov/16236177'}, '10425712': {'Title': 'Rat and human membrane dipeptidase: tissue distribution and developmental changes.', 'Authors': 'Kera Y, Liu Z, Matsumoto T, Sorimachi Y, Nagasaki H, Yamada RH', 'Source': 'Comp Biochem Physiol B Biochem Mol Biol', 'PubDate': '1999 May', 'DOI': '10.1016/s0305-0491(99)00039-5', 'Volume': '123', 'Issue': '1', 'Pages': '53-8', 'URL': '10425712: https://pubmed.ncbi.nlm.nih.gov/10425712'}, '7620110': {'Title': 'Mucosal pharmacokinetics and pilot study of short course of parenteral imipenem in the eradication of Helicobacter pylori.', 'Authors': 'Sung JJ, Chung SC, Hosking SW, Chan RC, Ling TK, Yung MY, Cheng AF, Li AK', 'Source': 'J Gastroenterol Hepatol', 'PubDate': '1995 Jan-Feb', 'DOI': '10.1111/j.1440-1746.1995.tb01050.x', 'Volume': '10', 'Issue': '1', 'Pages': '66-9', 'URL': '7620110: https://pubmed.ncbi.nlm.nih.gov/7620110'}, '8072193': {'Title': '[Treatment with arbekacin of surgical infections by resistant strains of Staphylococcus aureus. Arbekacin Study Group].', 'Authors': 'Morimoto K, Nakatani S, Kaji M, Kinoshita H, Fujimoto M, Hirata S, Ueda T, Tamate S, Yamazaki O', 'Source': 'Jpn J Antibiot', 'PubDate': '1994 Jun', 'DOI': 'No DOI available', 'Volume': '47', 'Issue': '6', 'Pages': '826-36', 'URL': '8072193: https://pubmed.ncbi.nlm.nih.gov/8072193'}, '8141778': {'Title': 'Metabolism of aspartame by human and pig intestinal microvillar peptidases.', 'Authors': 'Hooper NM, Hesp RJ, Tieku S', 'Source': 'Biochem J', 'PubDate': '1994 Mar 15', 'DOI': '10.1042/bj2980635', 'Volume': '298 Pt 3', 'Issue': 'Pt 3', 'Pages': '635-9', 'URL': '8141778: https://pubmed.ncbi.nlm.nih.gov/8141778'}, '8352517': {'Title': '[Efficacy and tolerance of imipenem/cilastatin in the adjuvant treatment of surgery for peritonitis in patients over the age of 70 years].', 'Authors': 'Janvier G, Carles J', 'Source': 'Ann Chir', 'PubDate': '1993', 'DOI': 'No DOI available', 'Volume': '47', 'Issue': '4', 'Pages': '370-5', 'URL': '8352517: https://pubmed.ncbi.nlm.nih.gov/8352517'}}"
"[1762, 9, 4932]",[-3.272108554840088],C0015063,Ethyl Methanesulfonate,TREATS,C0042029,Urinary tract infection,"['25330814', '2856913']","['25330814: https://pubmed.ncbi.nlm.nih.gov/25330814', '2856913: https://pubmed.ncbi.nlm.nih.gov/2856913']","{'25330814': {'Title': 'Mutagenic biomonitoring of pirethroid insecticides in human lymphocyte cultures: use of micronuclei as biomarkers and recovery by Rosa canina extracts of mutagenic effects.', 'Authors': 'Kasimoglu C, Uysal H', 'Source': 'Pharm Biol', 'PubDate': '2015 May', 'DOI': '10.3109/13880209.2014.935865', 'Volume': '53', 'Issue': '5', 'Pages': '625-9', 'URL': '25330814: https://pubmed.ncbi.nlm.nih.gov/25330814'}, '2856913': {'Title': 'An adhesive protein capsule of Escherichia coli.', 'Authors': 'Orskov I, Birch-Andersen A, Duguid JP, Stenderup J, Orskov F', 'Source': 'Infect Immun', 'PubDate': '1985 Jan', 'DOI': '10.1128/iai.47.1.191-200.1985', 'Volume': '47', 'Issue': '1', 'Pages': '191-200', 'URL': '2856913: https://pubmed.ncbi.nlm.nih.gov/2856913'}}"
